folder,image_file,name_ocr,weight_ocr,mrp_ocr,offer_price_ocr
companies,WhatsApp Image 2026-04-20 at 5.55.26 PM (2).jpeg,HindustanUnileverlinited Jumbofarms ITC Limited BRITANNIA Nestle Cadbury Lavian Colgate reckitt,,,
companies,WhatsApp Image 2026-04-20 at 5.55.26 PM (2).jpeg,ITC Limited,,,
companies,WhatsApp Image 2026-04-20 at 5.55.26 PM (2).jpeg,BRITANNIA,,,
companies,WhatsApp Image 2026-04-20 at 5.55.26 PM (2).jpeg,Nestle,,,
companies,WhatsApp Image 2026-04-20 at 5.55.26 PM (2).jpeg,Cadbury,,,
companies,WhatsApp Image 2026-04-20 at 5.55.26 PM (2).jpeg,Lavian,,,
ITC,WhatsApp Image 2026-04-18 at 10.17.04 AM (1).jpeg,SOLDOUT VIEWDETAILS BESTSELLER Sunfeast Hi Fi Cookies,25.8g,5,
ITC,WhatsApp Image 2026-04-18 at 10.17.04 AM (1).jpeg,SOLDOUT VIEWDETAILS BESTSELLER Sunfeast Mom's Magic Biscuits,25.8g,5,
ITC,WhatsApp Image 2026-04-18 at 10.17.04 AM (1).jpeg,"Sunfeast Hi Fi Cookies, Cashew",25.8g,5,
ITC,WhatsApp Image 2026-04-18 at 10.17.04 AM (1).jpeg,Sunfeast Mom's Magic Biscuits,25.8g,5,
ITC,WhatsApp Image 2026-04-18 at 10.17.04 AM (2).jpeg,ITCAgarbatti,,10,
ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM (1).jpeg,ITCChips&Snacks,25g,5,
ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM (1).jpeg,BINGO!,25g,5,
ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM (1).jpeg,"Bingo!TedheMedhe,Chatpata",25g,5,
ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM (1).jpeg,"Bingo!PotatoChips,Cream&",25g,5,
ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM (1).jpeg,Bingo!MadAnglesPizzaAaaah,24g,10,
ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM (2).jpeg,CakerSwissRoll,21.6g,10,
ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM (2).jpeg,pc CAKER SWISSROLL ?8.76 14.1% margin 8.94 11.9% margin GOLD FREEDELIVERY MRP 10.0 VIEWDETAILS BESTSELLER Bingo!NoRulz Curlz,21.6g,10,
ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM (2).jpeg,Masala,17.3g,10.0,
ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM (2).jpeg,ITCChips&Snacks,21.6g,10,
ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM (2).jpeg,SunfeastCakerSwissRoll,21.6g,10,
ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM (2).jpeg,"Bingo!NoRulz Curlz,Masala",17.3g,10.0,
ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM (2).jpeg,Bingo!TedheMedheMas,17.3g,5,
ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM (2).jpeg,BINGO!,17.3g,10.0,
ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM.jpeg,Atta&Salt BESTSELLER AashirvaadSuperiorMPAtta,1Kg,74,
ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM.jpeg,Kg VIEWDETAILS Aashirvaad lodized Crystal Salt,1Kg,74,
ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM.jpeg,Salt MRP22|Casesize25 PRICE/pc 17.02 29.3% margin GOLD FREEDELIVERY PACK 1Kg VIEWDETAILS AashirvaadShudhChakk 5Kg Pack AASHIRVAAD MRP?263|Casesize6 SDIOO PRICE/pc 243 486,1Kg,22,
ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM.jpeg,ITCAtta&Salt,1Kg,74,
ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM.jpeg,AashirvaadSuperiorMPAtta,1Kg,74,
ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM.jpeg,AASHIRVAAD,1Kg,74,
ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM.jpeg,Aashirvaad lodized Crystal Salt,1Kg,74,
ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM.jpeg,AashirvaadShudhChakk,1Kg,22,
ITC,WhatsApp Image 2026-04-18 at 10.17.06 AM (1).jpeg,ITC BESTSELLER Sunfeast Mom's Magic Cookies,28g,5,
ITC,WhatsApp Image 2026-04-18 at 10.17.06 AM (1).jpeg,Biscuits,28g,5,
ITC,WhatsApp Image 2026-04-18 at 10.17.06 AM (1).jpeg,SOLDOUT VIEWDETAILS BESTSELLER Sunfeast Hi Fi Cookies,25g,5,
ITC,WhatsApp Image 2026-04-18 at 10.17.06 AM (1).jpeg,Sunfeast Mom's Magic Cookies,28g,5,
ITC,WhatsApp Image 2026-04-18 at 10.17.06 AM (1).jpeg,Sunfeast Mom'sMagicBiscuits,28g,5,
ITC,WhatsApp Image 2026-04-18 at 10.17.06 AM (1).jpeg,Sunfeast Hi Fi Cookies,25g,5,
ITC,WhatsApp Image 2026-04-18 at 10.17.06 AM.jpeg,ITCAtta&Salt Aashirvaad Shudh Chakki Atta,5Kg,263,
ITC,WhatsApp Image 2026-04-18 at 10.17.06 AM.jpeg,Attawith Multigrains,5Kg,263,
ITC,WhatsApp Image 2026-04-18 at 10.17.06 AM.jpeg,Kg VIEWDETAILS BESTSELLER Aashirvaad lodised Salt,1Kg,84,
ITC,WhatsApp Image 2026-04-18 at 10.17.06 AM.jpeg,AASHIRVAAD IODIZED SALT,1Kg,84,
ITC,WhatsApp Image 2026-04-18 at 10.17.06 AM.jpeg,ITCAtta&Salt,5Kg,263,
ITC,WhatsApp Image 2026-04-18 at 10.17.06 AM.jpeg,Aashirvaad Shudh Chakki Atta,5Kg,263,
ITC,WhatsApp Image 2026-04-18 at 10.17.06 AM.jpeg,AASHIRVAAD,5Kg,263,
ITC,WhatsApp Image 2026-04-18 at 10.17.06 AM.jpeg,AashirvaadAttawith,5Kg,263,
